Provinsi,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),Persentase Angkatan Kerja Terhadap Penduduk Usia Kerja (TPAK) menurut Provinsi (Persen)
ACEH,5.5,65.63
SUMATERA UTARA,5.05,70.13
SUMATERA BARAT,5.69,70.95
RIAU,4.12,64.68
JAMBI,4.48,67.11
SUMATERA SELATAN,3.89,70.56
BENGKULU,3.24,71.15
LAMPUNG,4.07,71.16
KEP. BANGKA BELITUNG,4.17,67.67
KEP. RIAU,6.89,66.84
DKI JAKARTA,6.18,65.4
JAWA BARAT,6.74,68.91
JAWA TENGAH,4.33,73.17
DI YOGYAKARTA,3.18,73.73
JAWA TIMUR,3.61,74.25
BANTEN,6.64,65.82
BALI,1.58,77.4
NUSA TENGGARA BARAT,3.22,76.5
NUSA TENGGARA TIMUR,3.23,75.81
KALIMANTAN BARAT,4.23,67.64
KALIMANTAN TENGAH,3.47,69.9
KALIMANTAN SELATAN,3.94,70.41
KALIMANTAN TIMUR,5.33,66.4
KALIMANTAN UTARA,3.9,69.19
SULAWESI UTARA,6.03,65.3
SULAWESI TENGAH,3.02,70.51
SULAWESI SELATAN,4.96,65.99
SULAWESI TENGGARA,3.27,69.77
GORONTALO,3.12,67.52
SULAWESI BARAT,3.17,71.81
MALUKU,5.95,67.56
MALUKU UTARA,4.26,68.99
PAPUA BARAT,4.21,71.45
PAPUA,4.73,74.78