Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Sumba Barat,...,3.52,...,78.83
Sumba Timur,...,2.21,...,81.36
Kupang,...,3.22,...,76.93
Timor Tengah Selatan,...,2.64,...,83.13
Timor Tengah Utara,...,1.96,...,75.74
Belu,...,5.45,...,69.47
Alor,...,2.52,...,80.84
Lembata,...,2.55,...,77.49
Flores Timur,...,3.79,...,72.5
Sikka,...,2.62,...,74.35
Ende,...,2.59,...,74.69
Ngada,...,4,...,74.78
Manggarai,...,2.44,...,79.14
Rote Ndao,...,3.65,...,68.99
Manggarai Barat,...,4.42,...,70.71
Sumba Tengah,...,1.89,...,78.79
Sumba Barat Daya,...,2.08,...,80.15
Nagekeo,...,3.54,...,76.86
Manggarai Timur,...,1.63,...,80.33
Sabu Raijua,...,4.06,...,76.14
Malaka,...,3.06,...,73.48
Kota Kupang,...,5.69,...,64.75
Nusa Tenggara Timur,3.1,3.14,74.51,75.72
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,